a,b,c,t,e,et
1.2,1800,5,2.5,47.7091486332903,6.940842516500602
1.2,1800,5,3.0,50.8938920788841,5.853715709102303
1.2,1800,5,3.5,53.5628643423926,4.875963330262998
1.2,1800,5,4.0,55.7698554091471,4.003746374414099
1.2,1800,5,4.5,57.5666107168067,3.23275720022
1.2,1800,5,5.0,59.0026126093671,2.558931072981302
1.2,1800,5,5.5,60.125541789788,1.9775007822806998
1.2,1800,5,6.0,60.9801133916478,1.484068513236501
1.2,1800,5,6.5,61.6096103030245,1.073364943452205
1.2,1800,5,7.0,62.0534783351,0.7404144386753941
1.2,1800,5,7.5,62.3500247416999,0.47695172094539373
1.2,1800,5,8.0,62.5304300560454,0.28644367279679983
1.2,1800,5,8.5,62.6364684144967,0.15438958833250638
1.2,1800,5,9.0,62.6848196443779,0.04656170168410512
1.2,1800,5,9.5,62.6830301161808,0.008444120581096115
1.2,1800,5,10.0,62.693263764959,0.032490474531691405
1.2,1800,6,0.0,0.0,73.3590166854753
1.2,1800,6,0.5,27.6982246483832,37.4338819080575
1.2,1800,6,1.0,37.4338819080575,15.2588906767656
1.2,1800,6,1.5,42.9571153251488,10.2197174725639
1.2,1800,6,2.0,47.6535993806214,8.650538210652101
1.2,1800,6,2.5,51.6076535358009,7.246269382111798
1.2,1800,6,3.0,54.8998687627332,5.998605157383302
1.2,1800,6,3.5,57.6062586931842,4.898994853732603
1.2,1800,6,4.0,59.7988636164658,3.9391276815617005
1.2,1800,6,4.5,61.5453863747459,3.110102236499401
1.2,1800,6,5.0,62.9089658529652,2.403491288454596
1.2,1800,6,5.5,63.9488776632005,1.8100320880230996
1.2,1800,6,6.0,64.7189979409883,1.3210879562389053
1.2,1800,6,6.5,65.2699656194394,0.9271033541279934
1.2,1800,6,7.0,65.6461012951163,0.6190163121175942
1.2,1800,6,7.5,65.888981931557,0.38513009308570645
1.2,1800,6,8.0,66.031231388202,0.22047774659949937
1.2,1800,6,8.5,66.1094596781565,0.11374887424520352
1.2,1800,6,9.0,66.1449802624472,0.03505775593720273
1.2,1800,6,9.5,66.1445174340937,0.0069755323166873495
1.2,1800,6,10.0,66.1519557947639,0.022777910364084164
1.2,1800,7,0.0,0.0,82.0225504178153
1.2,1800,7,0.5,30.9030226509411,41.5895401859491
1.2,1800,7,1.0,41.5895401859491,16.486392596918197
1.2,1800,7,1.5,47.3894152478593,10.499858630626406
1.2,1800,7,2.0,52.0893988165755,8.460700294888305
1.2,1800,7,2.5,55.8501155427476,6.728150440573295
1.2,1800,7,3.0,58.8175492571488,5.2712644152614985
1.2,1800,7,3.5,61.1213799580091,4.060060154301901
1.2,1800,7,4.0,62.8776094114507,3.066916613521599
1.2,1800,7,4.5,64.1882965715307,2.2645463906394028
1.2,1800,7,5.0,65.1421558020901,1.6284219048625062
1.2,1800,7,5.5,65.8167184763932,1.1342347937385995
1.2,1800,7,6.0,66.2763905958287,0.7605744881077925
